Tournament,PlayerID,Name,FName,Club,Lineup,Position,Price
1022617,4388544,Madsen,Mads Emil,COP,unexpected,midfielder,6
1022617,4388593,Calhanoglu,Hakan,INT,expected,midfielder,11.5
1022617,4388594,Bastoni,Alessandro,INT,expected,defender,9.4
1022617,4388595,Martinez ,Lautaro,INT,expected,forward,11.6
1022617,4388596,Augusto,Carlos,INT,unexpected,defender,9.3
1022617,4388597,Sucic,Petar,INT,possible,midfielder,8.7
1022617,4388598,Frattesi ,Davide,INT,unexpected,midfielder,10.1
1022617,4388599,Thuram,Marcus,INT,injured,forward,11.8
1022617,4388600,Mkhitaryan,Henrikh,INT,expected,midfielder,9.5
1022617,4388601,Bonny,Ange-Yoan,INT,expected,forward,10.9
1022617,4388602,Darmian,Matteo,INT,injured,defender,9
1022617,4388603,Di Gennaro,Raffaele,INT,injured,goalkeeper,9.5
1022617,4388604,Acerbi,Francesco,INT,possible,defender,8.8
1022617,4388605,Dumfries,Denzel,INT,expected,defender,9.8
1022617,4388606,Sommer,Yann,INT,expected,goalkeeper,9.7
1022617,4388607,Henrique,Luis,INT,unexpected,midfielder,11.1
1022617,4388608,Martinez,Josep,INT,unexpected,goalkeeper,9.6
1022617,4388609,Barella,Nicolo,INT,expected,midfielder,10.7
1022617,4388610,Diouf,Andy,INT,unexpected,midfielder,8.6
1022617,4388611,Dimarco,Federico,INT,expected,defender,9.6
1022617,4388612,Zielinski,Piotr,INT,possible,midfielder,9.9
1022617,4388613,de Vrij,Stefan,INT,expected,defender,9.1
1022617,4388614,Bisseck,Yann,INT,unexpected,defender,8.9
1022617,4388615,Akanji,Manuel,INT,expected,defender,9.2
1022617,4388665,Maza,Ibrahim,B04,unexpected,midfielder,5.5
1022617,4388666,Echeverri,Claudio,B04,unexpected,midfielder,4.9
1022617,4388667,Kofane,Christian,B04,expected,forward,7.2
1022617,4388668,Bade,Loic,B04,expected,defender,5
1022617,4388669,Grimaldo,Alejandro,B04,expected,defender,5.8
1022617,4388670,Vazquez,Lucas,B04,possible,defender,4.9
1022617,4388671,Garcia,Aleix,B04,expected,midfielder,6.4
1022617,4388672,Andrich,Robert,B04,unexpected,midfielder,5.4
1022617,4388673,Quansah,Jarell,B04,expected,defender,5.1
1022617,4388674,Tella,Nathan,B04,injured,midfielder,6.6
1022617,4388675,Blaswich,Janis,B04,unexpected,goalkeeper,5.5
1022617,4388676,Tape,Axel,B04,injured,defender,4.8
1022617,4388677,Fernandez,Ezequiel,B04,expected,midfielder,4.8
1022617,4388678,Arthur,Arthur,B04,expected,defender,5.3
1022617,4388679,Schick,Patrik,B04,injured,forward,7.4
1022617,4388680,Flekken,Mark,B04,expected,goalkeeper,5.6
1022617,4388682,Tillman,Malik,B04,injured,midfielder,7
1022617,4388683,Tapsoba,Edmond,B04,expected,defender,5.2
1022617,4388684,Lomb,Niklas,B04,unexpected,goalkeeper,5.4
1022617,4388685,Poku,Ernest,B04,expected,midfielder,6.3
1022617,4388686,Ben Seghir,Eliesse,B04,expected,midfielder,6.8
1022617,4388709,Donnarumma,Gianluigi,MCI,expected,goalkeeper,9.8
1022617,4388710,Gonzalez,Nico,MCI,expected,midfielder,9
1022617,4388711,Doku,Jeremy,MCI,possible,midfielder,12.5
1022617,4388712,Foden,Phil,MCI,expected,midfielder,12.8
1022617,4388713,Bobb,Oscar,MCI,expected,midfielder,11.1
1022617,4388714,Khusanov,Abdukodir,MCI,unexpected,defender,8.9
1022617,4388715,Cherki,Rayan,MCI,unexpected,midfielder,12
1022617,4388716,Ait-Nouri,Rayan,MCI,unexpected,defender,9.4
1022617,4388717,Savinho,Savinho,MCI,possible,midfielder,11.7
1022617,4388718,Stones,John,MCI,expected,defender,9.1
1022617,4388719,Gvardiol,Josko,MCI,expected,defender,9.6
1022617,4388720,Trafford,James,MCI,unexpected,goalkeeper,9.5
1022617,4388721,Lewis,Rico,MCI,expected,defender,9
1022617,4388722,Marmoush,Omar,MCI,unexpected,forward,12.4
1022617,4388723,Ortega,Stefan,MCI,unexpected,goalkeeper,9.4
1022617,4388724,O'Reilly,Nico,MCI,possible,midfielder,9.1
1022617,4388725,Dias,Ruben,MCI,expected,defender,9.3
1022617,4388726,Silva,Bernardo,MCI,expected,midfielder,11.3
1022617,4388727,Haaland,Erling,MCI,expected,forward,13.2
1022617,4388728,Rodri,Rodri,MCI,injured,midfielder,11.4
1022617,4388729,Ake,Nathan,MCI,possible,defender,8.8
1022617,4388730,Nunes,Matheus,MCI,unexpected,defender,9.2
1022617,4388731,Kovacic,Mateo,MCI,unexpected,midfielder,8.9
1022617,4388732,Reijnders,Tijjani,MCI,expected,midfielder,12.1
1022617,4388733,Bettinelli,Marcus,MCI,unexpected,goalkeeper,9.3
1022617,4388781,De Bruyne,Kevin,NAP,expected,midfielder,10.2
1022617,4388782,Spinazzola,Leonardo,NAP,possible,defender,7.4
1022617,4388783,Ambrosino,Giuseppe,NAP,unexpected,forward,8.3
1022617,4388784,Jesus,Juan,NAP,expected,defender,7.3
1022617,4388785,Di Lorenzo ,Giovanni,NAP,expected,defender,8
1022617,4388786,Neres ,David,NAP,expected,midfielder,9.3
1022617,4388787,Vergara,Antonio,NAP,unexpected,midfielder,7.1
1022617,4388788,Rrahmani,Amir,NAP,injured,defender,7.2
1022617,4388789,Lobotka,Stanislav,NAP,injured,midfielder,7.9
1022617,4388790,Gutierrez,Miguel,NAP,expected,defender,7.5
1022617,4388791,Beukema,Sam,NAP,expected,defender,7.7
1022617,4388792,Politano,Matteo,NAP,unexpected,midfielder,9.4
1022617,4388793,Meret,Alex,NAP,expected,goalkeeper,8.1
1022617,4388794,Elmas,Eljif,NAP,unexpected,midfielder,8.9
1022617,4388795,Olivera,Mathias,NAP,possible,defender,7.8
1022617,4388796,Gilmour,Billy,NAP,expected,midfielder,7.2
1022617,4388797,Contini,Nikita,NAP,injured,goalkeeper,7.9
1022617,4388798,Lang,Noa,NAP,unexpected,midfielder,9.5
1022617,4388799,Lucca,Lorenzo,NAP,unexpected,forward,9.1
1022617,4388800,Milinkovic-Savic,Vanja,NAP,unexpected,goalkeeper,8.2
1022617,4388801,Buongiorno,Alessandro,NAP,unexpected,defender,7.6
1022617,4388802,McTominay,Scott,NAP,expected,midfielder,9.6
1022617,4388803,Anguissa,Frank,NAP,expected,midfielder,8.5
1022617,4388804,Hojlund,Rasmus,NAP,expected,forward,10.1
1022617,4388805,Willock,Joe,NEW,unexpected,midfielder,9.6
1022617,4388806,Gordon,Anthony,NEW,expected,midfielder,12.7
1022617,4388807,Pope,Nick,NEW,expected,goalkeeper,10.5
1022617,4388808,Ramsdale,Aaron,NEW,unexpected,goalkeeper,10.4
1022617,4388809,Trippier,Kieran,NEW,expected,defender,10.1
1022617,4388810,Joelinton,Joelinton,NEW,expected,midfielder,10.4
1022617,4388811,Guimaraes,Bruno,NEW,expected,midfielder,11.3
1022617,4388812,Ramsey,Jacob,NEW,unexpected,midfielder,10.3
1022617,4388813,Elanga,Anthony,NEW,possible,midfielder,12.1
1022617,4388814,Thiaw,Malick,NEW,expected,defender,9.7
1022617,4388815,Murphy,Jacob,NEW,expected,midfielder,11.9
1022617,4388816,Wissa,Yoane,NEW,injured,forward,11.6
1022617,4388817,Barnes,Harvey,NEW,possible,midfielder,12
1022617,4388818,Krafth,Emil,NEW,unexpected,defender,9.5
1022617,4388819,Osula,William,NEW,unexpected,forward,10.8
1022617,4388820,Livramento,Tino,NEW,injured,defender,10
1022617,4388821,Woltemade,Nick,NEW,expected,forward,12.2
1022617,4388822,Schar,Fabian,NEW,expected,defender,10.2
1022617,4388823,Tonali,Sandro,NEW,expected,midfielder,11
1022617,4388824,Burn,Dan,NEW,expected,defender,9.9
1022617,4388825,Botman,Sven,NEW,possible,defender,9.8
1022617,4388867,Ruiz,Fabian,PSG,injured,midfielder,11.8
1022617,4388868,Dembele,Ousmane,PSG,expected,forward,13.3
